token_tikuna,token_oral,token_pos,token_spa,dic_entry,example,example_tikuna,example_spanish
América del Surcüãx ,(a³me²ri³ca⁵ del³ sur²cü³ã̱x⁵),s.n.," sudamericano,  sudamericana ","América del Surcüãx (a³me²ri³ca⁵ del³ sur²cü³ã̱x⁵) s.n. sudamericano,  sudamericana Américadel Surcüãx chixĩ. Soy sudamericano.",,,
ãmücügu narüxĩnü ,(ã³mü⁵cü²gu⁴  na²rüx³ĩ³nü³),v.t., pensar ,ãmücügu narüxĩnü (ã³mü⁵cü²gu⁴  na²rüx³ĩ³nü³) v.t. pensar (en casarse)  Nüma rü marü naya rü ngẽmacax̱ ãmücügu narüxĩnü. Él ya es adulto y por  eso piensa en casarse.,Nüma rü marü naya rü ngẽmacax̱ ãmücügu narüxĩnü. Él ya es adulto y por  eso piensa en casarse.,Nüma rü marü naya rü ngẽmacax̱ ãmücügu narüxĩnü.,Él ya es adulto y por  eso piensa en casarse.
ãne ,(ã²ne³),s.n., vergüenza ,ãne (ã²ne³) s.n. vergüenza Wüxi i ãne nixĩ ega chixexü̃ ixü̱ xgu rü  poxcupataü̃wa ixũ̱ xgu.  Es una  vergüenza hacer mal e ir a la cárcel.,Wüxi i ãne nixĩ ega chixexü̃ ixü̱ xgu rü  poxcupataü̃wa ixũ̱ xgu.  Es una  vergüenza hacer mal e ir a la cárcel.,Wüxi i ãne nixĩ ega chixexü̃ ixü̱ xgu rü  poxcupataü̃wa ixũ̱ xgu.,Es una  vergüenza hacer mal e ir a la cárcel.
ãnegü ,(ã²ne³gü⁴),s.n., sueño,ãnegü (ã²ne³gü⁴) s.n. sueño,,,
anera ,(a³ne³ra⁵),s.f.," aro, sortija,  anillo","anera (a³ne³ra⁵) s.f. aro, sortija,  anillo",,,
ãpataxü̃ ,(ã³pa²tax⁵ü̃³),adj.,  que tiene casa,ãpataxü̃ (ã³pa²tax⁵ü̃³) adj.  que tiene casa,,,
ãpütaxü̃1 ,(ã³pü⁵tax³ü̃²),adj.,"  dentado, que tiene dientes ¡","ãpütaxü̃1 (ã³pü⁵tax³ü̃²) adj.  dentado, que tiene dientes ¡Naxũãẽrü ngẽma uchuma rü ãpütaxü̃ nixĩ!  ¡Cuidado! Esa piraña todavía tiene  dientes.",Naxũãẽrü ngẽma uchuma rü ãpütaxü̃ nixĩ!  ¡Cuidado! Esa piraña todavía tiene  dientes.,Naxũãẽrü ngẽma uchuma rü ãpütaxü̃ nixĩ!  ¡Cuidado!,Esa piraña todavía tiene  dientes.
ãpütaxü̃2 ,(ã³pü¹tax⁵ü̃³),adj., ovillado,ãpütaxü̃2 (ã³pü¹tax⁵ü̃³) adj. ovillado,,,
arámi ,(a³ra²mi⁵),s.n., alambre ,arámi (a³ra²mi⁵) s.n. alambre Naxcax̱ chataxega wüxichícu ga arámi.  Compré un rollo de alambre.,Naxcax̱ chataxega wüxichícu ga arámi.  Compré un rollo de alambre.,Naxcax̱ chataxega wüxichícu ga arámi.,Compré un rollo de alambre.
arapoũ ,(a³ra³po³ũ⁵),s.n., arpón,arapoũ (a³ra³po³ũ⁵) s.n. arpón,,,
arawiri ,(a³ra³wi³ri²),s.n., sardina,arawiri (a³ra³wi³ri²) s.n. sardina,,,
aricate ,(a³ri³ca²te⁵),s.n., alicate,aricate (a³ri³ca²te⁵) s.n. alicate,,,
arína ,(a³ri²na⁵),s.n., harina,arína (a³ri²na⁵)  s.n. harina,,,
armúnica ,(ar³mu²ni⁵ca⁵),s.m., armónica,armúnica (ar³mu²ni⁵ca⁵) s.m. armónica,,,
árpa ,(ar²pa⁵),s.m., arpa,árpa (ar²pa⁵) s.m. arpa,,,
aru ,(a²ru²),s.n.," cascabel, sonajero","aru (a²ru²) s.n. cascabel, sonajero",,,
arúchu ,(a³ru²chu⁵),s.m., arroz,arúchu (a³ru²chu⁵) s.m. arroz,,,
arumíniu ,(a³ru³mi²ni⁴u⁵),s.n., aluminio,arumíniu (a³ru³mi²ni⁴u⁵) s.n. aluminioArumíniunaxcax i norü naaxü̃pata.  Su techo es de aluminio.,Arumíniunaxcax i norü naaxü̃pata.  Su techo es de aluminio.,Arumíniunaxcax i norü naaxü̃pata.,Su techo es de aluminio.
arupane ,(a²ru³pa³ne⁵),s.m.," canela, moena  ","arupane (a²ru³pa³ne⁵) s.m. canela, moena  (especie de árbol)",,,
-arü ,(-a⁵rü³),suf. sust., de ,-arü (-a⁵rü³) suf. sust. de Cuáü̃arü tara nixĩ erü noxrütama diẽrumaxã  naxcax nataxe. El machete es de Juan porque él lo compró con su propio,Cuáü̃arü tara nixĩ erü noxrütama diẽrumaxã  naxcax nataxe.,,
dinero. ãtachinücü ,(ã³ta²chi³nü⁵cü³),s.m.,  palometa ,dinero. ãtachinücü (ã³ta²chi³nü⁵cü³) s.m.  palometa (especie de pez),,,
ãtachinüxü̃ ,(ã³ta²chi³nüx⁵ü³),adj., de forma plana,ãtachinüxü̃ (ã³ta²chi³nüx⁵ü³) adj. de forma plana,,,
ãtecü ,(ã³te²cü³),adj., casada ,ãtecü (ã³te²cü³) adj. casada (mujer),,,
ãtex̱ eanexü̃ ,(ã³tex̱ ⁵e³a⁵nex⁵ü³),s.n., polvo  ,ãtex̱ eanexü̃ (ã³tex̱ ⁵e³a⁵nex⁵ü³) s.n. polvo  (de tierra),,,
ãtü̱ ü̱ xü̃ ,(ã³tü̱ ⁵ü̱ x⁵ü³),adj., que tiene soga,ãtü̱ ü̱ xü̃ (ã³tü̱ ⁵ü̱ x⁵ü³) adj. que tiene soga,,,
ãũãchixü̃ ,(ãũ⁴ã²chix²ü²),adj.,"['sucio, cochino  ', 'manchado  ']","ãũãchixü̃ (ãũ⁴ã²chix²ü²) adj.  1. sucio, cochino  2. manchado  Véase üxaxü̃",,,
ãũãẽ ,(ãũ⁴ã¹ẽ⁴),s.n., mareo,ãũãẽ (ãũ⁴ã¹ẽ⁴) s.n. mareo,,,
ãũãẽxü̃ ,(ãũ⁴ã¹ẽx⁴ü²),adj.," loco, demente","ãũãẽxü̃ (ãũ⁴ã¹ẽx⁴ü²) adj. loco, demente",,,
ãaũãẽxü̃pataü̃ ,(ãũ⁴ã¹ẽx⁴ü̃²pa²taü̃³⁵),s.m.,  manicomio,ãaũãẽxü̃pataü̃ (ãũ⁴ã¹ẽx⁴ü̃²pa²taü̃³⁵) s.m.  manicomio,,,
ãũãx ,(ãũ⁵ãx⁵),s.n.,"['náusea ', 'asco']",ãũãx (ãũ⁵ãx⁵) s.n. 1.  náusea 2.  asco,,,
ãũãxü̃ ,(ãũ⁵ãx¹ü²),adj., repugnante,ãũãxü̃ (ãũ⁵ãx¹ü²) adj. repugnante,,,
ãũãx̱ wax̱ exü̃ ,(ãũ⁴ã̱x⁵wa̱x⁵ex³ü²),adj.,  cosquilloso,ãũãx̱ wax̱ exü̃ (ãũ⁴ã̱x⁵wa̱x⁵ex³ü²) adj.  cosquilloso,,,
ãũchigaxü̃ ,(ãũ⁵chi⁵gax³ü²),s.n.," acción graciosa, acción ridícula","ãũchigaxü̃ (ãũ⁵chi⁵gax³ü²) s.n. acción graciosa, acción ridícula",,,
áuchigüaneãcüma ,(au¹chi⁵gü⁵a⁵ne⁵ã⁵cü⁵ma⁴),adv., vagabundeando ,áuchigüaneãcüma (au¹chi⁵gü⁵a⁵ne⁵ã⁵cü⁵ma⁴) adv. vagabundeando Nüma rü  áuchigüaneãcüma namaxü̃. Él vive vagabundeando de un sitio a otro.  Véase naxáuchigüanexü̃,Nüma rü  áuchigüaneãcüma namaxü̃. Él vive vagabundeando de un sitio a otro.,Nüma rü  áuchigüaneãcüma namaxü̃.,Él vive vagabundeando de un sitio a otro.
ãũcümaxü̃ ,(ãũ⁵cü³max⁵ü²),s.n.," peligro, riesgo","ãũcümaxü̃ (ãũ⁵cü³max⁵ü²) s.n. peligro, riesgo",,,
ãũcünemextü̱xü ,(ãũ³cü⁵ne⁵mex̱ ⁵tü̱x⁵ü²),s.n., tobillo,ãũcünemextü̱xü (ãũ³cü⁵ne⁵mex̱ ⁵tü̱x⁵ü²)  s.n. tobillo,,,
ãũgaanexü̃ ,(ãũ⁵ga⁵a⁵nex³ü²),adj.," ruidoso, bullicioso","ãũgaanexü̃ (ãũ⁵ga⁵a⁵nex³ü²) adj. ruidoso, bullicioso",,,
ãũgaxü̃ ,(ãũ⁵gax³ü²),adj.," que da miedo, que asusta","ãũgaxü̃ (ãũ⁵gax³ü²)  adj. que da miedo, que asusta",,,
ãũnagüruxü̃ ,(ãũ⁴na⁵gü²rux¹ü⁵),s.n.,  palanca  ,ãũnagüruxü̃ (ãũ⁴na⁵gü²rux¹ü⁵) s.n.  palanca  Véase ãxũchiruxü̃,,,
aura ,(au⁵ra⁵),s.m., añuje caspi ,aura (au⁵ra⁵) s.m. añuje caspi (árbol cuya madera se usa para hacer  canoas),,,
aureãcü ,(au²re³ã⁵cü³),adv., ayunando  ,aureãcü (au²re³ã⁵cü³) adv. ayunando  Var. aureãcüma,Var.,,
ãũtachinü ,(ãũ⁵ta²chi³nü⁵),adj., ancho,ãũtachinü (ãũ⁵ta²chi³nü⁵) adj. ancho,,,
autu ,(au²³tu⁵),s.m.," automóvil, carro","autu (au²³tu⁵) s.m. automóvil, carro",,,
autuchicu ,(au²³tu⁵chi¹cu⁵),s.n.," rueda, llanta  ","autuchicu (au²³tu⁵chi¹cu⁵) s.n. rueda, llanta  (de carro)",,,
autumaü̃ ,(au²³tu⁵ma³ü̃⁵),s.n., carretera  ,autumaü̃ (au²³tu⁵ma³ü̃⁵) s.n. carretera  Véase caretéra,,,
autupataxü̃ ,(au²³tu⁵pa²tax³ü⁵),s.m.,  garaje,autupataxü̃ (au²³tu⁵pa²tax³ü⁵) s.m.  garaje,,,
auxãchi ,(aux⁴ã²chi²),s.n., envidia,auxãchi (aux⁴ã²chi²) s.n. envidia,,,
ãũxãchitümüxü̃ ,(ãũx⁴ã²chi²tü³müx³ü⁵),s.n., misericordia,ãũxãchitümüxü̃ (ãũx⁴ã²chi²tü³müx³ü⁵)  s.n. misericordia,,,
auxãchiwax̱ exü̃ ,(aux⁴ã²chi²wa̱x⁵ex³ü²),adj., envidioso ,auxãchiwax̱ exü̃ (aux⁴ã²chi²wa̱x⁵ex³ü²) adj. envidioso Var. ixauxãchixü̃,Var.,,
auxãcüma ,(aux²ã⁵cü⁴ma²),adv., llorando ,auxãcüma (aux²ã⁵cü⁴ma²) adv. llorando Nüma rü auxãcüma chopatawa nangu. Él llegó a mi casa llorando.,Nüma rü auxãcüma chopatawa nangu. Él llegó a mi casa llorando.,Nüma rü auxãcüma chopatawa nangu.,Él llegó a mi casa llorando.
auxchametüxü̃ ,(aux²cha¹me⁵tüx⁴ü²),adj., lloroso,auxchametüxü̃ (aux²cha¹me⁵tüx⁴ü²) adj. lloroso,,,
ãũxchitaxü̃ ,(ãũx⁵chi⁵tax²ü²),adj.,  amontonado,ãũxchitaxü̃ (ãũx⁵chi⁵tax²ü²) adj.  amontonado,,,
ãũxetü ,(ãũx⁵e¹tü⁴),s.n., guiño,ãũxetü (ãũx⁵e¹tü⁴) s.n. guiño,,,
ãũxrima ,(ãũx³ri¹ma⁴),adv.," intensamente, extremadamente, demasiado  ","ãũxrima (ãũx³ri¹ma⁴) adv. intensamente, extremadamente, demasiado  Ãũxrima naguxcha naxnüxü̃ chadauxü̃ i ngẽma ega  changearü choxcuxetüxãxgu. Es demasiado difícil ver eso sin anteojos.",Es demasiado difícil ver eso sin anteojos.,,
ãũxrixüchi ,(ãũx³rix¹ü¹chi⁵),adv.,"  sumamente, demasiado ","ãũxrixüchi (ãũx³rix¹ü¹chi⁵) adv.  sumamente, demasiado Ãũxrixüchi choxü̃ nangu̱ x. Me duele demasiado.",Me duele demasiado.,,
ãũxü̃ ,(ãũx⁵ü̃²),adj.,"['grotesco, deformado ', 'tremendo, enorme, formidable']","ãũxü̃ (ãũx⁵ü̃²) adj.1.  grotesco, deformado Ngẽma naxchicunax̱ ãchiwe rü ãũxü̃ nixĩ. La cara  de la máscara era grotesca.2.  tremendo, enorme, formidable",Ngẽma naxchicunax̱ ãchiwe rü ãũxü̃ nixĩ. La cara  de la máscara era grotesca.2.,Ngẽma naxchicunax̱ ãchiwe rü ãũxü̃ nixĩ.,La cara  de la máscara era grotesca.2.
ãü̃ ,(ãü³⁵),s.n., óxido,ãü̃ (ãü³⁵) s.n. óxido,,,
aüãcüma ,(a³ü¹ã⁵cü³ma²),adv.," con mezquindad, mezquinamente","aüãcüma (a³ü¹ã⁵cü³ma²) adv. con mezquindad, mezquinamente",,,
ãü̃tanü ,(ãü³⁵ta³nü⁵),adj., oxidado,ãü̃tanü (ãü³⁵ta³nü⁵) adj. oxidado,,,
aüxü̃ ,(a⁴üx⁵ü̃²),adj.," mezquino, tacaño","aüxü̃ (a⁴üx⁵ü̃²) adj. mezquino, tacaño",,,
awaxix ,(a³⁵wax³ix²),interj., no sé,awaxix (a³⁵wax³ix²) interj. no sé,,,
awe ,(a¹we⁵),s.n., ave,awe (a¹we⁵) s.n. ave,,,
ãxacücü ,(ãx⁴a³cü⁵cü²),adj., que tiene bebé,ãxacücü (ãx⁴a³cü⁵cü²) adj. que tiene bebé,,,
ãxacüxü̃ ,(ãx⁴a³cüx⁵ü²),adj.," embarazada,  encinta ","ãxacüxü̃ (ãx⁴a³cüx⁵ü²) adj. embarazada,  encinta Ngẽma chiũra i ãxãcüxü̃ rü  nidaxawe. La mujer embarazada está  enferma.",Ngẽma chiũra i ãxãcüxü̃ rü  nidaxawe. La mujer embarazada está  enferma.,Ngẽma chiũra i ãxãcüxü̃ rü  nidaxawe.,La mujer embarazada está  enferma.
ãxchinaxãxü̃ ,(ãx³chi¹na̱x⁵ãx³ü²),adj.,  huesudo,ãxchinaxãxü̃ (ãx³chi¹na̱x⁵ãx³ü²) adj.  huesudo,,,
axchiü i ngúchiáxü̃ ,(ax⁵chi¹ü³ i⁴  ngu¹chi⁵ax³ü²),s.n., bebida ,axchiü i ngúchiáxü̃ (ax⁵chi¹ü³ i⁴  ngu¹chi⁵ax³ü²) s.n. bebida (alcohólica),,,
ãxcuchi ,(ãx³cu²chi²),s.n., remanso,ãxcuchi (ãx³cu²chi²) s.n. remanso,,,
axe ,(ax⁵e³),s.n., bebida,axe (ax⁵e³) s.n. bebida,,,
axepáü̃ ,(ax⁵e³pa¹ü⁵),s.n.,"['copa ', 'vaso ', 'pocillo']",axepáü̃ (ax⁵e³pa¹ü⁵) s.n. 1.  copa 2.  vaso 3.  pocillo,,,
axexü̃ ,(ax⁵ex³ü⁵),s.n.," refresco, bebida","axexü̃ (ax⁵ex³ü⁵) s.n. refresco, bebida",,,
ãxmaanexü̃ ,(ãx³ma⁵a⁵nex⁵ü²),s.n., bache  ,ãxmaanexü̃ (ãx³ma⁵a⁵nex⁵ü²) s.n. bache  (en un camino),,,
ãxmaxcü ,(ãx³ma̱x⁵cü³),adj., cuñada  ,ãxmaxcü (ãx³ma̱x⁵cü³) adj. cuñada  (hermana de la esposa)  Véase nateeya,,,
ãxmaxü̃ ,(ãx³max³ü̃²),s.n., hueco  ,ãxmaxü̃ (ãx³max³ü̃²) s.n. hueco  Véase botamaxü,,,
ãxneãcü ,(ãx³ne⁵ã⁵cü⁵),adv., con armas,ãxneãcü (ãx³ne⁵ã⁵cü⁵) adv. con armasÃxneãcü nüxü̃ ínachomaeguãchi ga  napata. Rodearon con armas su casa.,Rodearon con armas su casa.,,
ãxpaweruxü̃ ,(ãx³pa¹we³rux³ü²),adj.," que tiene  mango, que tiene asa","ãxpaweruxü̃ (ãx³pa¹we³rux³ü²) adj. que tiene  mango, que tiene asa",,,
ãxpex̱ átüxü̃ ,(ãx³pex̱ ⁵a¹tüx⁵ü³),adj.," alado, que tiene alas","ãxpex̱ átüxü̃ (ãx³pex̱ ⁵a¹tüx⁵ü³) adj. alado, que tiene alas",,,
ãxtape ,(ãx³ta²pe³),s.n.," serpiente, culebra, víbora ","ãxtape (ãx³ta²pe³) s.n. serpiente, culebra, víbora (venenosa)",,,
ãxtapeguchata ,(ãx³ta²pe³gu⁵cha²ta⁵),s.n., veneno ,ãxtapeguchata (ãx³ta²pe³gu⁵cha²ta⁵) s.n. veneno (de víbora) Ngẽma  duü̃xü̃arü dexa rü ñoma ãxtapeguchatarüxü̃ tüxü̃ nimax̱ .  La maledicencia de la  gente nos mata como el veneno de una víbora.,Ngẽma  duü̃xü̃arü dexa rü ñoma ãxtapeguchatarüxü̃ tüxü̃ nimax̱ .  La maledicencia de la  gente nos mata como el veneno de una víbora.,Ngẽma  duü̃xü̃arü dexa rü ñoma ãxtapeguchatarüxü̃ tüxü̃ nimax̱ .,La maledicencia de la  gente nos mata como el veneno de una víbora.
axu ,(ax³u³),s.n., llanto ,axu (ax³u³) s.n. llanto Nüma rü nüxü̃ naxĩnü i norü axu. Él escuchó su  llanto.,Nüma rü nüxü̃ naxĩnü i norü axu. Él escuchó su  llanto.,Nüma rü nüxü̃ naxĩnü i norü axu.,Él escuchó su  llanto.
ãxũchiruxü̃ ,(ãx⁴ũ⁴chi²rux¹ü⁵),s.n.,  palanca  ,ãxũchiruxü̃ (ãx⁴ũ⁴chi²rux¹ü⁵) s.n.  palanca  Véase ãũnagüruxü̃,,,
-axǘ ̃̃ ,(-ax⁵ü¹),suf. sust.," para, a favor de  ","-axǘ ̃̃ (-ax⁵ü¹) suf. sust. para, a favor de  Norü coriaxǘ ̃̃ napuracü. Él trabaja para su patrón.  Véanse -cax, -ta",Norü coriaxǘ ̃̃ napuracü. Él trabaja para su patrón.,Norü coriaxǘ ̃̃ napuracü.,Él trabaja para su patrón.
ãxü̃ ,(ãx⁴ü³),s.n., trompetero ,ãxü̃ (ãx⁴ü³) s.n. trompetero (especie de ave),,,
ãxü̃chi ,(ãx³ü⁵chi²),s.n.," investidura, toma de posesión ","ãxü̃chi (ãx³ü⁵chi²) s.n. investidura, toma de posesión Nüma ga ãẽxgacü  nixĩ ga naxcaxnangemaxü̃ nawa ga norü  ãxüchi. Fue el rey quien los invitó a venir a su investidura.",Nüma ga ãẽxgacü  nixĩ ga naxcaxnangemaxü̃ nawa ga norü  ãxüchi. Fue el rey quien los invitó a venir a su investidura.,Nüma ga ãẽxgacü  nixĩ ga naxcaxnangemaxü̃ nawa ga norü  ãxüchi.,Fue el rey quien los invitó a venir a su investidura.
axü̃ne ,(ax³ü³ne⁵),s.n., fiebre axwax,axü̃ne (ax³ü³ne⁵) s.n. fiebre axwaxã (ãx³wa̱x⁵ã³) s.n. vicio ãxwe,,,
,(ãx¹we⁵),s.m.," carbón, brasa","(ãx¹we⁵) s.m. carbón, brasa",,,
ãxwetaxü̃ ,(ãx³we⁵tax⁵ü³),adj.," que tiene carga, que está cargado ","ãxwetaxü̃ (ãx³we⁵tax⁵ü³) adj. que tiene carga, que está cargado Ngẽma  yatü i noxri nuaüpetüxü̃ rü ãxwetaxü̃ nixĩ.  El hombre que pasó por acá traía carga en la espalda.",Ngẽma  yatü i noxri nuaüpetüxü̃ rü ãxwetaxü̃ nixĩ.  El hombre que pasó por acá traía carga en la espalda.,Ngẽma  yatü i noxri nuaüpetüxü̃ rü ãxwetaxü̃ nixĩ.,El hombre que pasó por acá traía carga en la espalda.
ba ,(ba²⁵),interj., ¡mira!  ,ba (ba²⁵) interj. ¡mira!  Véase dücax,,,
bachia ,(ba³chi³a⁵),s.m., bandeja,bachia (ba³chi³a⁵) s.m. bandeja,,,
bacuchiruxü̃ ,(ba³cu⁵chi³rux¹ü⁵),s.n.,  embudo,bacuchiruxü̃ (ba³cu⁵chi³rux¹ü⁵) s.n.  embudo,,,
baeru ,(ba³e⁴ru²),s.n., bautismo ,"baeru (ba³e⁴ru²) s.n. bautismo (por aspersión)  Véanse üéga, baie",,,
bai1 ,(bai¹⁵),adv.," de nada, por nada ","bai1 (bai¹⁵) adv. de nada, por nada Bai tá chapuracü. Por nada voy a  trabajar.",Bai tá chapuracü. Por nada voy a  trabajar.,Bai tá chapuracü.,Por nada voy a  trabajar.
bai2 ,(bai¹⁵),conj., ni aún ,bai2 (bai¹⁵) conj. ni aún Nataxuma ga wüxi rü bai ga wüxi. No había ni  uno (lit. ni aún uno).,,,
baicax̱ wexü̃ ,(bai¹ca̱x⁵wex¹ü²),adj.,"  descamisado, sin camisa","baicax̱ wexü̃ (bai¹ca̱x⁵wex¹ü²) adj.  descamisado, sin camisa",,,
baie ,(bai²e³),s.n., bautismo ,"baie (bai²e³) s.n. bautismo (por inmersión) Véanse baeru, üéga",,,
bairawe ,(bai³ra³we³),s.n., manantial,bairawe (bai³ra³we³) s.n. manantial,,,
baitücuxü̃ ,(bai¹tü⁵cux³ü²),adj.," desnudo, calato  ","baitücuxü̃ (bai¹tü⁵cux³ü²) adj. desnudo, calato  Véase ngexchiruxü̃",,,
baixãchi ,(baix⁵ã²chi²),s.n., susto,baixãchi (baix⁵ã²chi²) s.n. susto,,,
bai̱ x̱ beanexü̃ ,(bai̱ ̱x⁵be⁵a⁵nex³ü²),s.n., relámpago  ,bai̱ x̱ beanexü̃ (bai̱ ̱x⁵be⁵a⁵nex³ü²) s.n. relámpago  (lejano al atardecer) Yáuanecü rü yáxügu nüxü̃ tadau i  ngẽma bai̱ x̱ beanexü. En la tarde vemos  ese relámpago lejano.,Yáuanecü rü yáxügu nüxü̃ tadau i  ngẽma bai̱ x̱ beanexü. En la tarde vemos  ese relámpago lejano.,Yáuanecü rü yáxügu nüxü̃ tadau i  ngẽma bai̱ x̱ beanexü.,En la tarde vemos  ese relámpago lejano.
barü1 ,(ba⁴rü²),s.n., paucar ,barü1 (ba⁴rü²) s.n. paucar (especie de ave),,,
barü2 ,(ba³⁵rü²),s.n., gualo ,barü2 (ba³⁵rü²) s.n. gualo (rana grande),,,
barü3 ,(ba³⁵rü²),s.n., tinaja ,barü3 (ba³⁵rü²) s.n. tinaja (grande de barro),,,
basu ,(ba²su⁵),s.n., vaso,basu (ba²su⁵) s.n. vaso,,,
baú ,(ba⁴u³),s.n., baúl  ,baú (ba⁴u³) s.n. baúl  Véase maréta,,,
báü̃cu ,(baü²³cu⁵),s.n.,"['banco ', 'banco ']",báü̃cu (baü²³cu⁵) s.n.1.  banco (para sentarse)2.  banco (de crédito),,,
bawe ,(ba²we²),s.n., charapa ,bawe (ba²we²) s.n. charapa (especie de tortuga acuática),,,
bawearü tauemacü ,(ba²we²a⁵rü³ tau⁴e³ma⁴cü³),m.,  setiembre,bawearü tauemacü (ba²we²a⁵rü³ tau⁴e³ma⁴cü³)m.  setiembre,,,
baxcaxü̃ ,(bax⁵cax³ü²),"['s.n.', 's.n.', 'adj.', 'adj.']","[' fronda', ' florecimiento', ' frondoso', ' floreciente']",baxcaxü̃ (bax⁵cax³ü²)1.  s.n. fronda2.  s.n. florecimiento3.  adj. frondoso4.  adj. floreciente,,,
baxe ,(bax³e⁵),s.n.," castaño, castaña","baxe (bax³e⁵) s.n. castaño, castañaVéanse chigubü, castaña",,,
baxü̃ ,(bax³ü⁵),s.n., mazamorra  ,baxü̃ (bax³ü⁵) s.n. mazamorra  Véase chorune,,,
beratü ,(be³ra³tü³),s.n., avispa ,beratü (be³ra³tü³) s.n. avispa (especie que llena huecos con barro),,,
berchícuru ,(ber³chi²cu³ru⁵),s.n., versículo,berchícuru (ber³chi²cu³ru⁵) s.n. versículo,,,
berdúra ,(ber³du²ra⁵),s.n.," verdura, legumbre","berdúra (ber³du²ra⁵) s.n. verdura, legumbre",,,
bere ,(be²³re³),s.n., cocona ,bere (be²³re³) s.n. cocona (especie de fruto comestible),,,
bereatü ,(be⁴re⁴a¹tü³),s.n., bijao ,"bereatü (be⁴re⁴a¹tü³) s.n. bijao (hojas grandes que se utilizan para  envolver y cocinar pescado salado, tamales y juanes)",,,
berure ,(be⁵ru³re²),s.n.,"['abeja ', 'miel ']",berure (be⁵ru³re²) s.n. 1.  abeja 2.  miel (de abeja) Berure rü namaixcuraxüchi. La miel de abeja es muy dulce.,Berure rü namaixcuraxüchi. La miel de abeja es muy dulce.,Berure rü namaixcuraxüchi.,La miel de abeja es muy dulce.
bẽte ,(bẽ²te⁵),s.n., veinte,bẽte (bẽ²te⁵) s.n. veinte,,,
beü̃tána ,(beü³ta²na⁵),s.n., ventana,beü̃tána (beü³ta²na⁵) s.n. ventana,,,
bexma ,(bex⁵ma⁵),adv.," calladamente, silenciosamente, secretamente ","bexma (bex⁵ma⁵) adv. calladamente, silenciosamente, secretamente Ngẽma  churaragü rü bexma ínangugü. Los soldados llegaron silenciosamente.  Véase cúãcü",Ngẽma  churaragü rü bexma ínangugü. Los soldados llegaron silenciosamente.,Ngẽma  churaragü rü bexma ínangugü.,Los soldados llegaron silenciosamente.
bexma nidexa ,(bex⁵ma⁵ ni²³dex²a⁵),v.t., hablar  ,bexma nidexa (bex⁵ma⁵ ni²³dex²a⁵) v.t. hablar  (en secreto) Nümagü rü bexma nidexa chauchiga erü tama ̃  nanaxwax̱e nax nüxü chacúaxücax i norü ĩnü. Ellos hablan en secreto  acerca de mí porque no quieren que yo sepa sus  pensamientos.,Nümagü rü bexma nidexa chauchiga erü tama ̃  nanaxwax̱e nax nüxü chacúaxücax i norü ĩnü. Ellos hablan en secreto  acerca de mí porque no quieren que yo sepa sus  pensamientos.,Nümagü rü bexma nidexa chauchiga erü tama ̃  nanaxwax̱e nax nüxü chacúaxücax i norü ĩnü.,Ellos hablan en secreto  acerca de mí porque no quieren que yo sepa sus  pensamientos.
bexmana ,(bex⁵ma⁵na¹),adv.," quizá, acaso, tal  vez, posiblemente ","bexmana (bex⁵ma⁵na¹) adv. quizá, acaso, tal  vez, posiblemente Nawaane rü bexmana  tá napu. Hay nubes negras, acaso lloverá.Véanse cu̱ xá nixĩ, maneca","Nawaane rü bexmana  tá napu. Hay nubes negras, acaso lloverá.",Nawaane rü bexmana  tá napu.,"Hay nubes negras, acaso lloverá."
bichágra ,(bi³chag²ra⁵),s.n., bisagra,bichágra (bi³chag²ra⁵) s.n. bisagra,,,
bichicreta ,(bi³chi³cre²ta⁵),s.n., bicicleta  ,bichicreta (bi³chi³cre²ta⁵) s.n. bicicleta  Var. bici,Var.,,
bidóũ ,(bi³do²ũ⁵),s.n.," bidón, cilindro  ","bidóũ (bi³do²ũ⁵) s.n. bidón, cilindro  (para líquidos)",,,
bínu ,(bi²nu⁵),s.m., vino,bínu (bi²nu⁵) s.m. vino,,,
bitamína ,(bi³ta³mi²na⁵),s.n., vitamina ,bitamína (bi³ta³mi²na⁵) s.n. vitamina Ngẽma bitamína rü taxünearü  poraxẽẽruxü̃ nixĩ. Las vitaminas dan  fuerza a nuestro cuerpo.,Ngẽma bitamína rü taxünearü  poraxẽẽruxü̃ nixĩ. Las vitaminas dan  fuerza a nuestro cuerpo.,Ngẽma bitamína rü taxünearü  poraxẽẽruxü̃ nixĩ.,Las vitaminas dan  fuerza a nuestro cuerpo.
bixichiruxü̃ ,(bix²i⁵chi²rux¹ü⁵),s.n.,"  escoba, escobilla","bixichiruxü̃ (bix²i⁵chi²rux¹ü⁵) s.n.  escoba, escobilla",,,
